,percent_rounded,percent_geochem_preserved,actual_volume,avg_r,non-uni,uni,mantle_temp,int_temp,mean_it3
350,6.14220175561988,0.0,3241704,94.66666666666667,110,64,1297.0,1600,1492.39884406574
351,50.7571824397069,93.0998300369984,1463848,72.0,82,52,418.5,1630,1047.14911243185
352,80.9158877600543,0.058367609523917,4961656,126.0,168,42,1253.0,1700,1507.3618682345
353,2.58469909956598,100.0,123496,60.0,14,152,708.0,1730,798.226650693231
354,87.9987849068067,0.0,368696,44.666666666666664,42,50,1402.0,1750,1522.91231871452
355,81.9115751821362,58.6233923358144,1520840,74.66666666666667,58,108,741.0,1830,1307.72971015825
356,27.4595887794277,100.0,1277368,103.33333333333333,148,14,350.5,1790,712.975653542373
357,88.8070722034859,22.1015462002763,27243560,186.66666666666666,186,188,728.0,1680,1514.5265861032
358,89.4885212396709,0.0,454056,48.0,44,56,1509.0,1690,1571.85266299226
359,7.15043906204767,62.9701823796198,5388760,110.0,98,134,306.5,1620,1220.7341122656
360,76.5785465674221,44.0751686568091,8377960,126.0,126,126,750.5,1660,1394.19734192046
361,88.9298081103876,0.0,1527128,78.0,98,38,1227.0,1800,1519.15710558711
362,65.8736035542964,0.0,248488,46.666666666666664,26,88,1500.0,1670,1536.45501512692
363,90.5739866071682,0.0,12698136,147.33333333333334,166,110,1159.5,1730,1586.97004613171
364,93.418646289989,5.56347857628511,10013016,134.0,140,122,818.5,1900,1612.74905263204
365,64.1667100988517,100.0,460488,48.0,46,52,601.5,1780,998.46952473938
366,0.0,0.0,6240664,135.33333333333334,180,46,1278.0,1620,1482.23868083193
367,5.22973693199498,63.1346101319618,12623656,146.66666666666666,128,184,370.5,1600,1266.17586656713
368,83.9929484455836,26.2625494984806,6947688,126.66666666666667,92,196,874.0,1740,1458.81463744864
369,7.68132516903261,8.9474136076154,7547656,128.0,154,76,1141.0,1610,1466.13767545121
370,99.730986510895,0.0,208168,63.333333333333336,18,154,1505.5,1860,1553.61902370667
371,100.0,0.0,10010104,135.33333333333334,120,166,1545.0,1780,1711.53375425222
372,96.4318736279695,0.0,21016296,172.0,160,196,1056.5,1880,1726.83522621589
373,62.7444658369644,78.8158779582324,868424,82.66666666666667,34,180,1079.5,1690,1295.57878779949
374,86.9531931021414,24.3262926196411,13720200,149.33333333333334,160,128,783.0,1730,1496.93373024294
375,64.6367312721193,100.0,1679528,85.33333333333333,112,32,571.5,1770,1075.64010291931
376,94.658797379033,0.392909033228581,11524296,141.33333333333334,154,116,923.0,1900,1659.49907892737
377,94.9178031657987,0.187369685766524,25741624,183.33333333333334,178,194,880.0,1860,1672.94400416374
378,66.53118220582,100.0,320824,51.333333333333336,28,98,831.0,1840,1078.79324912776
379,83.7601340805842,42.7430367517529,14019032,150.0,142,166,384.0,1680,1380.62177344947
380,67.0430299745119,100.0,693656,59.333333333333336,42,94,432.5,1830,938.423699893987
381,90.5781157170734,0.0,3406792,104.0,68,176,1307.0,1750,1569.28315630023
